ts,eid,mob,zone,hit,dmg,level,might,grace,will,dam,hit_stat,ac,self_x,self_y,mob_x,mob_y,facing,rel_dir,dist,weapon,gear
1785715530822,607414,,Thousand Legs,1,27,18,15,19,10,1,3,54,14,8,15,8,1,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715531349,607414,,Thousand Legs,1,27,18,15,19,10,1,3,54,14,8,15,8,1,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715531855,607414,,Thousand Legs,1,27,18,15,19,10,1,3,54,14,8,15,8,1,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715532601,607414,Large centipede,Thousand Legs,1,29,18,15,19,10,1,3,54,14,8,15,8,1,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715533129,607414,Large centipede,Thousand Legs,1,25,18,15,19,10,1,3,54,14,8,15,8,1,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715533745,607414,Large centipede,Thousand Legs,0,0,18,15,19,10,1,3,54,14,8,15,8,1,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715534362,607414,Large centipede,Thousand Legs,1,25,18,15,19,10,1,3,54,14,8,15,8,1,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715535076,607414,Large centipede,Thousand Legs,0,0,18,15,19,10,1,3,54,15,8,15,8,0,1,0,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715535954,607414,Large centipede,Thousand Legs,0,0,18,15,19,10,1,3,54,15,8,15,8,1,1,0,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715537079,607414,Large centipede,Thousand Legs,0,0,18,15,19,10,1,3,54,15,8,15,8,3,1,0,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715537811,607414,Large centipede,Thousand Legs,0,0,18,12,19,10,1,3,54,14,8,15,8,1,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715538493,604177,,Thousand Legs,0,0,18,12,19,10,1,3,54,15,8,15,7,0,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715539021,604177,,Thousand Legs,0,0,18,12,19,10,1,3,54,15,8,15,7,0,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
